Team Number,Team Name
1,Bajoran raider
2,Basestars
3,Bebop
4,Bellerophon
5,Blackbird
6,Cardassian Pursuit
7,Colonial Viper
8,Cylon Raider
9,Death Glider
10,Destiny Ascension
11,Enterprise
12,Event Horizon
13,Federation Fighter
14,Geonosian starfighter
15,Heart of Gold
16,Horatius
17,Hyperion
18,Icarus
19,Independence
20,Jedi starfighter
21,Jem'Hadar fighter
22,Kronos Fighter
23,Magellan
24,Mayflower One
25,Minbari
26,Mongoose
27,Moonraker
28,Nemesis
29,Ori Fighter
30,Phoenix
31,Prometheus
32,Protoss Corsair
33,Ragnarok
34,Raider Class
35,Reman Scorpion
36,Serenity
37,Shadow of Intent
38,Spectre
39,Sulaco
40,Talaxian Fighter
41,Terran Wraith
42,TIE Fighter
43,To'Duj Fighter
44,UdaJeet
45,V-wing
46,Valkyrie
47,Viking
48,Vulcan Fighter
49,Wraith Dart
50,X-wing